DIST_CODE,DIST_NAME,MEDIAN_CLASS_SIZE,STU:TCHR_RATIO,WEIGHTED_AVG_STU:TCHR+AIDE_RATIO,PREK_CURRICULA_MostSchool,PREK_Curricula_MostSchools_Count,PREK_CURRICULA_Available,Cnt_PreK_FullANDHalfDay,Cnt_PreK_FullDay_Only,Cnt_PreK_HalfDay_Only,Cnt_PreK_FullDayAvailable,Cnt_PreK_HalfDayAvailable,ADA_Eligible,ADA_Ineligible,PK_Total_Enrollment_21_22
099903,QUANAH ISD,8,7:1,7:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,*,*,30
100903,KOUNTZE ISD,62,62:1,62:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,45,8,53
100904,SILSBEE ISD,24,24:1,24:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,100,6,106
100905,HARDIN-JEFFERSON ISD,20,20:1,20:1,CIRCLE-E,2,CIRCLE-E,0,2,0,2,0,53,22,75
100907,LUMBERTON ISD,17,9:1,9:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,73,14,87
100908,WEST HARDIN COUNTY CISD,15,15:1,15:1,Other,1,Other,0,1,0,1,0,*,*,28
101802,SER-NINOS CHARTER SCHOOL,17,19:1,14:1,CIRCLE-E,2,CIRCLE-E,2,0,0,2,2,103,"",103
101804,GEORGE I SANCHEZ CHARTER,16,22:1,22:1,Creative Curriculum-E,1,Creative Curriculum-E,1,0,0,1,1,36,"",36
101806,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,17,17:1,17:1,Creative Curriculum-E,3,Creative Curriculum-E,1,2,0,3,1,*,*,169
101810,ACADEMY OF ACCELERATED LEARNING INC,21,16:1,16:1,Savvas-E,1,Savvas-E,,,,,,,,
101814,THE VARNETT PUBLIC SCHOOL,18,20:1,20:1,CIRCLE-E,3,CIRCLE-E,0,3,0,3,0,85,"",85
101815,ALIEF MONTESSORI COMMUNITY SCHOOL,8,16:1,16:1,Creative Curriculum-E,1,Creative Curriculum-E,0,0,1,0,1,98,"",98
101819,AMIGOS POR VIDA-FRIENDS FOR LIFE PU,21,21:1,14:1,Creative Curriculum-E,1,"Creative Curriculum-E,Creative Curriculum-S",0,1,0,1,0,60,"",60
101828,HOUSTON GATEWAY ACADEMY INC,18,18:1,18:1,Creative Curriculum-E,3,Creative Curriculum-E,0,3,0,3,0,209,"",209
101838,SOUTHWEST SCHOOL,22,15:1,15:1,Savvas-E,1,"Savvas-E,Savvas-S",0,1,0,1,0,39,"",39
101840,TWO DIMENSIONS PREPARATORY ACADEMY,20,24:1,24:1,CIRCLE-E,3,CIRCLE-E,0,3,0,3,0,167,"",167
101845,YES PREP PUBLIC SCHOOLS INC,22,19:1,19:1,Other,4,Other,0,4,0,4,0,*,*,162
101849,ACCELERATED INTERMEDIATE ACADEMY,13,26:1,26:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,25,"",25
101853,PROMISE COMMUNITY SCHOOL,17,23:1,23:1,Creative Curriculum-E,2,"Creative Curriculum-E,Frog Street-E,Frog Street-S",0,4,0,4,0,944,"",944
101855,MEYERPARK ELEMENTARY,21,21:1,21:1,Other,1,Other,1,0,0,1,1,*,*,39
101856,DRAW ACADEMY,18,33:1,33:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,100,"",100
101858,HARMONY PUBLIC SCHOOLS - HOUSTON NO,23,23:1,23:1,Savvas-E,1,Savvas-E,0,1,0,1,0,41,"",41
101861,THE RHODES SCHOOL FOR PERFORMING AR,24,24:1,24:1,Frog Street-E,2,Frog Street-E,0,2,0,2,0,58,"",58
101870,BETA ACADEMY,23,23:1,18:1,Ready to Advance-E,1,Ready to Advance-E,1,0,0,1,1,101,5,106
101877,ELEVATE COLLEGIATE CHARTER SCHOOL,24,24:1,24:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,17,6,23
101902,ALDINE ISD,22,17:1,14:1,Frog Street-E,12,Frog Street-E,0,12,0,12,0,3169,7,3176
101903,ALIEF ISD,21,23:1,23:1,Frog Street-E,24,"Frog Street-E,Frog Street-S",5,11,8,16,13,*,*,1792
101905,CHANNELVIEW ISD,22,19:1,19:1,Frog Street-E,1,"Frog Street-E,Frog Street-S",0,1,0,1,0,398,"",398
101906,CROSBY ISD,23,16:1,18:1,Savvas-E,1,Savvas-E,0,1,0,1,0,*,*,244
101907,CYPRESS-FAIRBANKS ISD,23,18:1,16:1,Frog Street-E,53,Frog Street-E,0,53,0,53,0,*,*,3773
101908,DEER PARK ISD,18,16:1,10:1,CIRCLE-E,1,"CIRCLE-E,CIRCLE-S",0,2,0,2,0,233,"",233
101910,GALENA PARK ISD,23,23:1,16:1,Frog Street-E,15,"Frog Street-E,Frog Street-S",3,12,0,15,3,980,"",980
101911,GOOSE CREEK CISD,23,18:1,18:1,Frog Street-E,15,Frog Street-E,13,2,0,15,13,907,28,935
101912,HOUSTON ISD,21,18:1,18:1,Savvas-E,162,Savvas-E,12,151,0,163,12,11331,369,11700
101913,HUMBLE ISD,23,19:1,12:1,Savvas-E,19,"Savvas-E,Savvas-S",4,15,0,19,4,928,67,995
101914,KATY ISD,23,20:1,14:1,Savvas-E,40,"Savvas-E,Savvas-S",0,43,0,43,0,*,*,2156
101915,KLEIN ISD,20,19:1,19:1,Other,27,Other,0,27,0,27,0,1371,63,1434
101916,LA PORTE ISD,23,21:1,15:1,CIRCLE-E,2,"CIRCLE-E,CIRCLE-S",0,2,0,2,0,197,"",197
101917,PASADENA ISD,18,17:1,12:1,Other,36,Other,1,36,0,37,1,2007,69,2076
101919,SPRING ISD,23,17:1,17:1,Frog Street-E,26,Frog Street-E,4,22,0,26,4,1720,49,1769
101920,SPRING BRANCH ISD,22,20:1,18:1,Ready to Advance-E,14,"Ready to Advance-E,Ready to Advance-S",5,12,0,17,5,1324,331,1655
101921,TOMBALL ISD,19,22:1,15:1,Ready to Advance-E,6,"Ready to Advance-E,Ready to Advance-S",0,3,4,3,4,*,*,310
101924,SHELDON ISD,23,17:1,13:1,Frog Street-E,2,"Frog Street-E,Frog Street-S",0,2,0,2,0,426,57,483
101925,HUFFMAN ISD,18,16:1,16:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,81,8,89
102901,KARNACK ISD,11,19:1,13:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,19,"",19
102902,MARSHALL ISD,17,15:1,10:1,Frog Street-E,1,"Frog Street-E,Frog Street-S",0,1,0,1,0,261,"",261
102903,WASKOM ISD,16,16:1,16:1,Savvas-E,1,Savvas-E,0,1,0,1,0,21,10,31
102904,HALLSVILLE ISD,17,17:1,12:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,107,"",107
102905,HARLETON ISD,21,21:1,14:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,12,8,20
102906,ELYSIAN FIELDS ISD,21,21:1,21:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,*,*,19
103901,CHANNING ISD,12,12:1,12:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,9
103902,HARTLEY ISD,12,12:1,12:1,Other,1,Other,0,1,0,1,0,5,6,11
104901,HASKELL CISD,21,21:1,21:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,*,*,38
104903,RULE ISD,10,10:1,10:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,9
104907,PAINT CREEK ISD,5,5:1,5:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,6
105902,SAN MARCOS CISD,26,22:1,22:1,Frog Street-E,1,"Frog Street-E,Frog Street-S",0,1,0,1,0,338,37,375
105904,DRIPPING SPRINGS ISD,17,16:1,14:1,Ready to Advance-E,5,"Ready to Advance-E,Ready to Advance-S",1,4,0,5,1,44,182,226
105905,WIMBERLEY ISD,18,19:1,19:1,CIRCLE-E,1,"CIRCLE-E,CIRCLE-S",1,0,0,1,1,73,83,156
105906,HAYS CISD,23,21:1,21:1,Savvas-E,12,"Savvas-E,Savvas-S",0,12,0,12,0,609,21,630
106901,CANADIAN ISD,9,13:1,13:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,*,*,37
107901,ATHENS ISD,21,21:1,20:1,Frog Street-E,3,"Frog Street-E,Frog Street-S",0,3,0,3,0,175,16,191
107902,BROWNSBORO ISD,20,19:1,19:1,Ready to Advance-E,2,Ready to Advance-E,1,1,0,2,1,91,11,102
107904,CROSS ROADS ISD,26,26:1,26:1,Creative Curriculum-E,1,Creative Curriculum-E,1,0,0,1,1,15,6,21
107905,EUSTACE ISD,17,15:1,10:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,87,"",87
107906,MALAKOFF ISD,20,18:1,12:1,Frog Street-E,2,Frog Street-E,0,2,0,2,0,*,*,44
107907,TRINIDAD ISD,5,5:1,5:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,"",*
107908,MURCHISON ISD,13,13:1,13:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,12
107910,LAPOYNOR ISD,14,14:1,14:1,Other,1,Other,0,1,0,1,0,12,14,26
108802,HORIZON MONTESSORI PUBLIC SCHOOLS,19,16:1,14:1,Savvas-E,4,Savvas-E,4,0,0,4,4,248,50,298
108807,IDEA PUBLIC SCHOOLS,24,38:1,38:1,Other,32,Other,0,0,32,0,32,3091,189,3280
108808,VANGUARD ACADEMY,17,19:1,14:1,Frog Street-E,5,"Frog Street-E,Frog Street-S",5,0,0,5,5,533,55,588
108809,EXCELLENCE IN LEADERSHIP ACADEMY,16,16:1,16:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,29,"",29
108902,DONNA ISD,22,21:1,21:1,PreK On My Way-E,12,"PreK On My Way-E,PreK On My Way-S",1,12,0,13,1,512,44,556
108903,EDCOUCH-ELSA ISD,20,19:1,14:1,CIRCLE-E,1,"CIRCLE-E,Frog Street-E,Other",1,0,0,1,1,291,15,306
108904,EDINBURG CISD,20,11:1,11:1,Frog Street-E,32,Frog Street-E,1,31,0,32,1,1934,354,2288
108905,HIDALGO ISD,24,21:1,15:1,Frog Street-E,5,"Frog Street-E,Frog Street-S,Other",0,5,0,5,0,165,10,175
108906,MCALLEN ISD,18,20:1,18:1,Savvas-E,18,"Savvas-E,Frog Street-E",4,14,0,18,4,913,79,992
108907,MERCEDES ISD,15,23:1,23:1,CIRCLE-E,3,"CIRCLE-E,CIRCLE-S,Frog Street-E,Savvas-E",2,3,0,5,2,226,9,235
108908,MISSION CISD,23,21:1,18:1,Other,15,Other,1,14,0,15,1,928,145,1073
108909,PHARR-SAN JUAN-ALAMO ISD,17,14:1,13:1,Frog Street-E,26,Frog Street-E,25,1,0,26,25,2348,155,2503
108910,PROGRESO ISD,17,14:1,14:1,Frog Street-E,1,"Frog Street-E,Frog Street-S",0,1,0,1,0,44,"",44
108911,SHARYLAND ISD,22,18:1,18:1,Ready to Advance-S,8,"Ready to Advance-S,Ready to Advance-E",0,8,0,8,0,268,19,287
108912,LA JOYA ISD,22,19:1,17:1,Savvas-S,23,"Savvas-S,Savvas-E,Frog Street-E,Frog Street-S",8,16,0,24,8,1357,82,1439
108913,WESLACO ISD,20,21:1,21:1,Savvas-E,10,"Savvas-E,Frog Street-E,Frog Street-S",0,10,1,10,1,878,100,978
108914,LA VILLA ISD,16,16:1,16:1,Creative Curriculum-E,1,Creative Curriculum-E,1,0,0,1,1,*,*,31
108915,MONTE ALTO ISD,31,31:1,31:1,CIRCLE-E,1,"CIRCLE-E,Other",0,0,1,0,1,*,*,62
108916,VALLEY VIEW ISD,19,18:1,14:1,PreK On My Way-E,4,PreK On My Way-E,0,4,0,4,0,181,"",181
109901,ABBOTT ISD,15,15:1,15:1,Savvas-E,1,Savvas-E,0,1,0,1,0,*,*,14
109902,BYNUM ISD,6,6:1,6:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,5
109903,COVINGTON ISD,14,14:1,14:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,9,5,14
109904,HILLSBORO ISD,18,20:1,24:1,Other,1,"Other,Savvas-E",0,1,0,1,0,132,33,165
109905,HUBBARD ISD,21,21:1,21:1,Savvas-E,1,Savvas-E,0,1,0,1,0,28,10,38
109907,ITASCA ISD,18,18:1,18:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,25,10,35
109908,MALONE ISD,8,8:1,8:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,24,"",24
109910,MOUNT CALM ISD,24,24:1,24:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,21
109911,WHITNEY ISD,24,24:1,24:1,Other,1,Other,0,1,0,1,0,58,26,84
109912,AQUILLA ISD,10,10:1,10:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,10,9,19
109913,BLUM ISD,20,20:1,20:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,16,"",16
109914,PENELOPE ISD,12,12:1,12:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,8,8,16
110901,ANTON ISD,10,10:1,10:1,Savvas-E,1,Savvas-E,0,1,0,1,0,*,*,8
110902,LEVELLAND ISD,19,15:1,11:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,128,30,158
110905,ROPES ISD,18,18:1,12:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,35
110906,SMYER ISD,21,21:1,21:1,Other,1,Other,0,1,0,1,0,*,*,20
110907,SUNDOWN ISD,15,15:1,10:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,14,11,25
110908,WHITHARRAL ISD,17,17:1,17:1,Other,1,Other,0,1,0,1,0,8,9,17
111901,GRANBURY ISD,18,18:1,12:1,Frog Street-E,1,"Frog Street-E,Frog Street-S,Ready to Advance-S",0,1,0,1,0,279,11,290
111902,LIPAN ISD,29,29:1,19:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,17,8,25
111903,TOLAR ISD,21,20:1,13:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,21,18,39
112901,SULPHUR SPRINGS ISD,14,15:1,9:1,Frog Street-E,1,"Frog Street-E,Frog Street-S",1,0,0,1,1,204,11,215
112905,CUMBY ISD,14,14:1,14:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,23,7,30
112906,NORTH HOPKINS ISD,17,17:1,11:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,14,20,34
112907,MILLER GROVE ISD,13,13:1,13:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,18,8,26
112908,COMO-PICKTON CISD,13,12:1,12:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,21,13,34
112909,SALTILLO ISD,19,19:1,19:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,12,6,18
112910,SULPHUR BLUFF ISD,13,13:1,13:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,9,5,14
113901,CROCKETT ISD,22,25:1,25:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,*,*,73
113902,GRAPELAND ISD,17,17:1,17:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,42,26,68
113903,LOVELADY ISD,11,11:1,11:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,18
113905,LATEXO ISD,14,14:1,14:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,15,10,25
113906,KENNARD ISD,17,17:1,17:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,29
114901,BIG SPRING ISD,11,12:1,12:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,69,"",69
114902,COAHOMA ISD,21,15:1,15:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,16,23,39
114904,FORSAN ISD,21,11:1,11:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,19
115901,FT HANCOCK ISD,11,11:1,11:1,LWTears-S,1,LWTears-S,0,1,0,1,0,*,*,10
115902,SIERRA BLANCA ISD,3,3:1,3:1,Other,1,Other,0,0,1,0,1,5,"",5
115903,DELL CITY ISD,11,11:1,11:1,Creative Curriculum-E,1,Creative Curriculum-E,0,1,0,1,0,*,*,9
116901,CADDO MILLS ISD,21,17:1,13:1,CIRCLE-E,2,CIRCLE-E,1,1,0,2,1,30,26,56
116902,CELESTE ISD,28,28:1,19:1,Savvas-E,1,Savvas-E,0,1,0,1,0,19,8,27
116903,COMMERCE ISD,20,20:1,20:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,69,10,79
116905,GREENVILLE ISD,19,16:1,16:1,Frog Street-E,1,"Frog Street-E,Frog Street-S",0,1,0,1,0,344,26,370
116906,LONE OAK ISD,15,11:1,11:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,21,10,31
116908,QUINLAN ISD,22,21:1,14:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,132,"",132
116909,WOLFE CITY ISD,16,16:1,13:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,26,6,32
116910,CAMPBELL ISD,16,16:1,16:1,Savvas-E,1,Savvas-E,0,1,0,1,0,12,"",12
116915,BLAND ISD,21,21:1,21:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,34
116916,BOLES ISD,16,16:1,16:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,19,13,32
117901,BORGER ISD,21,18:1,18:1,Frog Street-E,1,"Frog Street-E,Frog Street-S",0,1,0,1,0,102,31,133
117903,SANFORD-FRITCH ISD,16,16:1,16:1,Creative Curriculum-E,1,Creative Curriculum-E,0,1,0,1,0,19,13,32
117904,PLEMONS-STINNETT-PHILLIPS CISD,16,16:1,10:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,13,14,27
118902,IRION COUNTY ISD,24,14:1,14:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,13,23,36
119901,BRYSON ISD,13,13:1,13:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,*,*,13
119902,JACKSBORO ISD,15,14:1,10:1,Other,1,Other,0,1,0,1,0,32,8,40
119903,PERRIN-WHITT CISD,13,13:1,13:1,Other,1,Other,0,1,0,1,0,14,"",14
120901,EDNA ISD,22,18:1,18:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,51,34,85
120902,GANADO ISD,17,16:1,11:1,Other,1,Other,0,1,0,1,0,26,5,31
120905,INDUSTRIAL ISD,14,13:1,10:1,Quaver,2,Quaver,0,2,0,2,0,12,11,23
121902,BROOKELAND ISD,19,19:1,19:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,8,7,15
121903,BUNA ISD,14,14:1,14:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,29,26,55
121904,JASPER ISD,23,19:1,16:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,*,*,82
121905,KIRBYVILLE CISD,24,24:1,24:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,56,6,62
121906,EVADALE ISD,13,13:1,13:1,Savvas-E,1,Savvas-E,0,1,0,1,0,*,*,12
122901,FT DAVIS ISD,9,9:1,9:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,7
122902,VALENTINE ISD,2,2:1,2:1,Other,1,Other,1,0,0,1,1,*,*,*
123803,TEKOA ACADEMY OF ACCELERATED STUDIE,15,16:1,16:1,Savvas-E,2,Savvas-E,0,2,0,2,0,66,"",66
123805,EHRHART SCHOOL,12,12:1,8:1,Ready to Advance-E,1,Ready to Advance-E,0,1,0,1,0,*,*,36
123807,BOB HOPE SCHOOL,10,14:1,14:1,Other,2,"Other,CIRCLE-E",2,0,0,2,2,*,*,316
123905,NEDERLAND ISD,10,20:1,13:1,Frog Street-E,4,"Frog Street-E,Frog Street-S",0,0,4,0,4,88,"",88
123907,PORT ARTHUR ISD,20,14:1,14:1,CIRCLE-E,8,"CIRCLE-E,CIRCLE-S",1,7,0,8,1,427,11,438
123908,PORT NECHES-GROVES ISD,13,16:1,16:1,CIRCLE-E,1,CIRCLE-E,0,0,1,0,1,*,*,72
123910,BEAUMONT ISD,23,19:1,19:1,Frog Street-E,9,Frog Street-E,0,9,0,9,0,1037,"",1037
123913,SABINE PASS ISD,14,14:1,14:1,Savvas-E,1,Savvas-E,0,0,1,0,1,"",15,15
123914,HAMSHIRE-FANNETT ISD,17,13:1,13:1,Other,1,Other,0,1,0,1,0,32,15,47
124901,JIM HOGG COUNTY ISD,11,9:1,9:1,Other,1,Other,0,1,0,1,0,32,"",32
125901,ALICE ISD,16,13:1,11:1,CIRCLE-E,5,CIRCLE-E,0,4,0,4,0,123,24,147
125902,BEN BOLT-PALITO BLANCO ISD,24,24:1,24:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,23,"",23
125903,ORANGE GROVE ISD,21,21:1,21:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,46,15,61
125905,PREMONT ISD,18,18:1,18:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,64
125906,LA GLORIA ISD,3,3:1,3:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,*,*,*
126901,ALVARADO ISD,18,17:1,12:1,Frog Street-E,3,"Frog Street-E,Frog Street-S",0,3,0,3,0,112,5,117
126902,BURLESON ISD,23,18:1,13:1,PreK On My Way-E,5,"PreK On My Way-E,PreK On My Way-S",1,4,0,5,1,*,*,246
126903,CLEBURNE ISD,19,19:1,19:1,CIRCLE-E,7,CIRCLE-E,6,1,0,7,6,277,50,327
126904,GRANDVIEW ISD,21,21:1,14:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,30,9,39
126905,JOSHUA ISD,13,13:1,13:1,CIRCLE-E,5,"CIRCLE-E,CIRCLE-S",0,5,0,5,0,145,"",145
126906,KEENE ISD,24,24:1,24:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,40
126907,RIO VISTA ISD,17,17:1,11:1,Other,1,Other,1,0,0,1,1,*,*,32
126908,VENUS ISD,15,15:1,15:1,Savvas-E,1,"Savvas-E,Savvas-S",0,1,0,1,0,86,23,109
126911,GODLEY ISD,21,18:1,12:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,64,57,121
127901,ANSON ISD,16,15:1,15:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,50,9,59
127903,HAMLIN COLLEGIATE ISD,15,15:1,15:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,32,16,48
127904,HAWLEY ISD,13,13:1,13:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,13,11,24
127905,LUEDERS-AVOCA ISD,12,6:1,6:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,7,"",7
127906,STAMFORD ISD,15,12:1,12:1,CIRCLE-E,1,"CIRCLE-E,Frog Street-E,Frog Street-S",1,0,0,1,1,*,*,34
128901,KARNES CITY ISD,14,13:1,9:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,45,16,61
128902,KENEDY ISD,21,14:1,14:1,Other,1,Other,0,1,0,1,0,*,*,41
128903,RUNGE ISD,17,17:1,11:1,Creative Curriculum-E,1,Creative Curriculum-E,0,1,0,1,0,*,*,16
128904,FALLS CITY ISD,16,16:1,16:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,*,*,15
129901,CRANDALL ISD,18,15:1,10:1,Frog Street-E,5,"Frog Street-E,Frog Street-S",0,5,0,5,0,143,6,149
129902,FORNEY ISD,21,22:1,22:1,CIRCLE-E,3,"CIRCLE-E,Other",2,1,0,3,2,238,"",238
129903,KAUFMAN ISD,20,18:1,12:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,171,6,177
129904,KEMP ISD,22,19:1,19:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,65,5,70
129905,MABANK ISD,19,19:1,15:1,Savvas-E,2,Savvas-E,0,2,0,2,0,180,"",180
129906,TERRELL ISD,18,19:1,11:1,Other,1,Other,1,0,0,1,1,230,51,281
129910,SCURRY-ROSSER ISD,10,10:1,10:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,19,"",19
130901,BOERNE ISD,7,11:1,8:1,Other,7,Other,0,7,0,7,0,107,31,138
130902,COMFORT ISD,23,14:1,14:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,*,*,64
131001,KENEDY COUNTY WIDE CSD,10,19:1,19:1,Other,1,Other,0,0,1,0,1,12,9,21
132902,JAYTON-GIRARD ISD,4,4:1,3:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,*
133901,CENTER POINT ISD,24,17:1,11:1,Savvas-E,1,Savvas-E,1,0,0,1,1,*,*,27
133902,HUNT ISD,17,17:1,17:1,Creative Curriculum-E,1,Creative Curriculum-E,0,0,1,0,1,6,13,19
133903,KERRVILLE ISD,19,17:1,11:1,CIRCLE-E,1,"CIRCLE-E,CIRCLE-S",1,0,0,1,1,167,"",167
133904,INGRAM ISD,18,23:1,23:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,74,6,80
133905,DIVIDE ISD,6,6:1,6:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,6
134901,JUNCTION ISD,21,21:1,21:1,Other,1,Other,0,1,0,1,0,44,17,61
136901,BRACKETT ISD,14,13:1,13:1,CIRCLE-E,1,"CIRCLE-E,Other",1,0,0,1,1,*,*,22
137901,KINGSVILLE ISD,20,14:1,12:1,CIRCLE-E,3,CIRCLE-E,0,3,0,3,0,83,5,88
137902,RICARDO ISD,18,18:1,18:1,Savvas-E,1,Savvas-E,1,0,0,1,1,27,25,52
137903,RIVIERA ISD,20,20:1,20:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,25,13,38
137904,SANTA GERTRUDIS ISD,19,19:1,13:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,6,12,18
138902,"KNOX CITY-O'BRIEN CISD",6,12:1,12:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,*,*,21
138903,MUNDAY CISD,14,14:1,14:1,Frog Street-E,1,Frog Street-E,0,0,1,0,1,21,10,31
138904,BENJAMIN ISD,7,7:1,7:1,Other,1,Other,1,0,0,1,1,*,*,7
